dif_lifespan,mass,exercise,smoking,alcohol,sugar
-0.8000000000000114,99.7,0.9,0.0,2.4,27.6
-1.0,105.4,1.8,8.1,0.4,16.8
-1.7000000000000028,111.4,1.1,0.8,4.6,30.0
-1.7999999999999972,111.4,4.7,11.8,1.0,11.6
-3.700000000000003,71.6,1.5,8.3,4.9,22.0
-0.7000000000000028,54.3,1.8,0.4,2.1,32.0
2.700000000000003,91.6,4.3,2.2,0.2,24.0
-7.3999999999999915,127.9,2.6,21.0,1.7,14.8
-6.0,68.0,1.9,17.8,5.1,28.4
-1.2000000000000028,118.1,3.7,0.5,1.2,24.4
-2.8000000000000114,94.3,2.0,7.7,5.1,25.6
-1.7999999999999972,86.4,1.9,3.1,4.8,40.4
-5.700000000000003,106.6,0.7,14.0,1.0,31.6
-1.9000000000000057,57.3,3.0,14.0,1.0,25.2
-0.7000000000000028,107.1,1.9,0.5,4.0,21.2
-2.5,109.1,1.7,11.0,0.7,19.6
-4.799999999999997,78.4,1.6,13.5,5.0,50.8
-7.400000000000006,125.6,1.8,16.8,4.8,18.4
-2.0,117.4,4.6,20.5,1.3,14.8
-0.3999999999999915,85.7,3.6,12.3,4.5,4.0
0.4000000000000057,60.9,3.4,2.6,4.0,31.6
-4.8999999999999915,97.9,3.3,16.7,3.5,38.4
-5.1000000000000085,127.1,3.0,14.3,5.7,38.8
-1.9000000000000057,51.9,1.8,0.5,5.3,34.0
1.2999999999999972,84.3,4.1,0.7,3.0,54.8
-1.8999999999999915,121.9,4.1,4.5,5.6,9.6
-3.3999999999999915,81.8,1.6,20.0,0.3,21.6
-5.0,122.9,1.2,11.6,5.7,30.4
-9.699999999999996,105.5,2.2,18.5,5.6,39.6
-1.5,63.7,1.8,2.8,2.3,23.6
-1.0999999999999943,56.9,2.4,3.4,4.6,20.4
1.0,87.1,3.5,2.4,4.9,34.0
-6.599999999999994,127.7,1.6,16.5,1.5,34.0
-1.5,103.9,2.4,0.5,5.2,42.8
-1.6000000000000085,87.9,1.8,18.5,5.1,44.0
-2.5,79.5,3.9,21.7,4.3,32.8
-2.4000000000000057,129.9,1.2,3.8,4.5,16.0
-0.29999999999999716,72.9,1.2,0.3,1.5,35.6
-0.5,97.0,3.0,1.8,1.3,22.4
-4.5,98.5,1.2,17.1,2.2,31.6
-2.799999999999997,81.3,1.2,13.0,2.0,32.8
-2.0999999999999943,137.6,3.5,9.6,2.1,33.2
-5.200000000000003,99.9,0.9,11.9,4.2,9.2
-6.199999999999996,105.5,4.6,20.7,2.9,7.2
0.9000000000000057,70.3,3.9,5.0,0.8,32.4
-5.299999999999997,105.8,2.5,13.8,4.4,44.0
0.6000000000000085,96.8,3.4,4.0,4.4,19.2
-2.8999999999999915,123.3,1.6,7.1,0.4,54.4
-3.0999999999999943,64.4,2.0,16.4,2.0,14.0
-3.4000000000000057,58.6,2.0,14.6,2.3,26.0
-5.3999999999999915,138.9,1.4,10.6,4.5,31.2
-0.8999999999999915,78.2,1.1,0.2,5.0,18.8
0.0,56.7,2.0,0.3,2.0,32.4
-1.1999999999999886,85.4,3.1,8.5,6.0,21.2
-1.2999999999999972,57.0,2.9,3.8,5.0,21.6
-2.299999999999997,63.9,1.8,14.0,0.1,45.6
2.0999999999999943,82.0,3.8,0.7,2.4,16.8
-1.1999999999999886,108.7,2.7,21.2,0.2,28.4
0.5999999999999943,68.4,2.2,2.8,1.2,28.4
-1.1000000000000085,95.7,1.8,7.3,0.3,45.6
1.0,103.6,2.1,0.2,0.5,13.6
-1.2999999999999972,77.4,3.6,13.0,1.5,33.2
-0.6999999999999886,53.0,4.4,10.2,0.7,14.4
-2.1999999999999886,74.6,2.9,15.4,4.7,18.0
-1.5,102.8,1.2,2.8,0.9,21.2
-8.0,142.3,1.2,19.7,0.4,32.0
-5.299999999999997,86.1,2.8,15.4,5.1,26.8
-1.2999999999999972,64.2,3.8,13.8,3.3,12.4
-1.5999999999999943,62.6,3.5,11.4,1.4,12.4
-1.9000000000000057,95.3,4.0,9.8,4.7,24.0
-3.200000000000003,85.5,2.5,10.0,5.7,38.8
1.5,92.3,3.0,1.0,2.4,20.8
-3.3999999999999915,70.0,2.0,17.8,3.9,40.4
-0.6999999999999886,135.6,3.7,3.0,4.8,24.0
-1.9000000000000057,74.2,3.7,10.9,4.0,29.6
-1.3999999999999915,107.1,3.2,10.7,4.8,39.2
-3.5999999999999943,59.6,2.3,15.4,1.3,6.8
-5.3999999999999915,105.0,4.3,19.8,4.5,32.0
-0.5999999999999943,68.0,2.7,9.1,4.9,19.6
-8.100000000000009,143.3,0.2,13.1,2.1,41.2
-1.7999999999999972,109.9,1.5,0.5,5.1,35.2
-2.0,115.1,1.3,1.8,0.4,28.4
-3.3000000000000114,85.6,2.7,21.0,1.7,24.0
-0.5,128.5,2.1,1.4,3.9,28.0
-0.20000000000000284,111.2,3.9,0.4,5.1,19.6
-8.300000000000011,113.1,0.1,18.1,4.7,24.0
-2.799999999999997,113.0,2.0,10.7,0.6,29.6
-2.9000000000000057,105.0,1.5,5.4,4.2,15.6
-3.5,65.3,2.4,11.0,4.2,8.4
-5.0,61.6,2.3,20.3,1.4,19.6
-3.0,61.4,1.2,7.6,4.6,20.8
-1.7999999999999972,129.2,2.2,3.0,0.5,42.8
-0.7999999999999972,61.8,3.1,5.8,5.3,32.0
-4.200000000000003,93.4,1.2,11.7,3.8,47.2
-3.4000000000000057,123.3,1.7,11.6,2.1,10.0
-1.6999999999999886,135.1,2.5,6.1,4.5,33.6
-2.8999999999999915,66.8,1.8,15.5,0.9,31.2
3.5999999999999943,86.9,4.3,0.8,0.5,19.6
-1.9000000000000057,115.4,2.6,9.6,4.8,32.0
-4.199999999999989,54.6,2.1,20.0,0.4,28.4
-2.299999999999997,70.9,1.7,11.6,1.3,18.8
0.0,129.2,1.8,0.1,4.6,27.6
0.09999999999999432,61.6,1.4,1.2,1.7,19.2
-3.5999999999999943,74.1,1.4,20.6,0.3,27.2
-2.0,72.1,2.2,11.6,3.1,32.4
-0.9000000000000057,68.3,3.5,8.0,1.3,18.8
-3.5999999999999943,123.0,1.8,18.0,1.7,24.4
-0.4000000000000057,94.1,1.4,6.5,2.8,29.2
-4.1000000000000085,76.3,0.2,11.0,3.6,34.0
-4.599999999999994,73.1,1.7,16.6,3.9,17.2
-4.299999999999997,80.3,3.4,17.5,3.8,36.0
-1.5,115.1,1.8,4.1,3.5,27.2
-1.8999999999999915,87.4,3.4,5.0,4.2,45.2
-0.10000000000000853,76.6,1.6,2.3,0.1,50.8
-1.1000000000000085,85.5,2.9,11.0,0.8,24.4
-1.6000000000000085,113.9,2.9,21.9,0.6,18.8
-5.400000000000006,106.8,1.5,18.7,4.5,47.2
-2.8999999999999915,88.3,1.6,14.7,0.3,42.4
-1.4000000000000057,146.0,1.9,1.4,4.5,13.6
0.7000000000000028,84.4,3.2,1.9,4.7,22.4
-10.100000000000001,142.7,1.7,20.1,3.0,20.8
0.09999999999999432,112.7,4.2,0.2,0.4,41.6
-5.5,154.8,2.7,17.3,0.5,26.0
-7.0,115.6,0.8,21.6,4.3,34.8
0.7999999999999972,92.0,4.7,15.1,0.6,40.4
-0.5,83.0,3.4,6.1,2.6,32.0
-4.400000000000006,110.3,1.4,16.8,4.8,14.4
-1.5,70.8,0.9,7.5,1.2,28.0
-3.4000000000000057,96.5,1.7,8.9,0.4,19.2
1.5999999999999943,55.0,4.0,0.6,0.7,31.6
-4.0,82.9,1.5,16.6,0.5,28.4
-0.5999999999999943,113.5,1.7,0.2,1.0,24.8
-5.200000000000003,66.4,2.3,19.1,0.9,41.6
-1.2000000000000028,94.6,2.8,6.9,5.3,17.6
-3.5,96.1,1.3,9.6,5.3,28.4
-10.599999999999994,159.5,1.7,19.4,4.6,28.4
1.7999999999999972,74.3,5.4,5.0,1.5,22.4
1.0999999999999943,60.7,2.4,3.4,5.4,12.8
-3.5999999999999943,91.5,1.4,18.7,0.9,32.0
-1.0,79.4,1.8,4.5,0.3,53.2
-2.5,96.9,2.0,12.4,3.9,20.4
-2.799999999999997,107.4,3.1,9.6,3.5,42.0
-1.2999999999999972,56.0,3.2,13.8,0.8,27.2
-0.20000000000000284,51.0,1.5,1.1,0.5,23.2
-0.20000000000000284,98.8,3.0,3.7,5.0,36.8
-1.7999999999999972,97.9,1.3,7.6,0.3,9.2
-3.4000000000000057,97.6,1.3,14.1,4.3,26.8
-4.1000000000000085,64.5,2.6,18.4,5.1,25.2
0.7000000000000028,97.5,3.6,1.0,4.1,12.8
-1.5999999999999943,102.7,1.7,10.1,2.7,9.2
0.6000000000000085,110.5,5.3,12.7,3.6,14.8
-5.1000000000000085,66.0,2.0,16.1,4.2,32.8
-3.4000000000000057,112.5,4.7,12.8,0.7,28.0
-6.099999999999994,119.1,3.3,20.2,0.4,24.8
0.20000000000000284,57.3,1.8,0.1,1.1,12.8
-5.099999999999994,108.9,3.5,18.6,1.0,18.0
-4.0,65.5,2.1,11.8,0.9,3.2
-3.799999999999997,60.8,2.5,17.9,0.8,24.8
-6.5,83.3,1.6,21.6,0.2,34.8
-1.9000000000000057,82.9,2.6,10.7,0.1,28.0
-4.5,138.8,2.6,21.6,0.2,17.6
-0.09999999999999432,53.9,1.9,0.2,5.0,35.6
-2.5999999999999943,108.7,2.3,12.2,3.5,47.6
-8.099999999999994,74.6,0.5,20.7,3.8,9.6
-3.0,118.0,2.4,15.3,0.9,36.4
-4.599999999999994,62.3,2.3,19.9,0.5,30.8
-3.6000000000000085,59.1,1.8,17.5,0.4,24.0
-4.599999999999994,69.0,1.9,13.0,5.3,33.2
-3.0999999999999943,103.3,0.7,9.9,0.9,48.8
-4.700000000000003,106.5,3.3,19.0,1.7,36.4
-2.3999999999999986,50.5,1.0,7.4,2.3,18.0
-4.599999999999994,79.0,2.5,15.4,4.2,22.8
-1.1000000000000085,129.2,1.8,6.3,4.2,11.2
-1.5,108.4,4.6,11.3,0.4,28.8
-0.7000000000000028,122.6,1.8,0.0,0.8,16.0
-4.0,148.5,2.3,5.4,0.7,38.8
1.2999999999999972,83.8,2.1,3.0,0.4,10.4
-2.5999999999999943,90.1,3.1,18.1,0.2,14.4
-1.9000000000000057,107.1,3.7,14.1,3.2,12.4
2.6000000000000085,66.3,3.9,0.9,0.2,12.4
-2.5999999999999943,114.8,2.1,8.2,0.9,36.0
-2.5,50.4,2.3,13.2,1.7,47.2
2.0999999999999943,63.8,4.2,4.5,0.7,9.2
0.6000000000000085,107.2,1.8,0.4,1.0,37.2
-5.200000000000003,94.4,3.7,16.8,5.3,9.2
-2.799999999999997,51.4,0.5,9.8,4.1,11.6
0.5999999999999943,72.9,3.1,4.4,3.7,48.8
-2.8999999999999915,98.8,1.5,12.2,0.7,22.8
0.7000000000000028,52.9,3.6,4.5,0.4,11.2
-3.9000000000000057,131.7,1.9,11.3,1.5,33.2
-3.0,73.5,2.8,15.3,0.4,4.8
-4.099999999999994,63.3,1.0,13.9,4.9,35.2
-1.9000000000000057,76.0,2.1,12.5,2.4,34.4
2.200000000000003,128.9,4.5,0.1,1.0,21.6
-3.1000000000000085,68.3,2.3,16.4,0.7,28.0
-2.700000000000003,105.9,0.8,0.1,4.6,32.0
-0.7999999999999972,61.8,4.5,7.6,3.9,36.4
-7.1000000000000085,125.2,1.4,19.5,1.7,31.6
-3.799999999999997,94.3,1.1,15.8,1.6,18.0
-5.700000000000003,112.1,0.7,17.7,0.3,40.0
1.1000000000000085,64.2,2.7,1.4,2.2,23.6
-3.0999999999999943,136.9,1.5,10.5,4.2,15.6
-6.5,68.2,2.9,17.9,4.0,14.8
-3.200000000000003,70.6,1.4,17.1,0.5,46.4
-1.7999999999999972,105.8,2.8,8.5,2.9,31.2
1.3999999999999915,79.3,2.4,0.8,0.4,20.4
-1.9000000000000057,91.2,2.6,9.6,2.0,37.2
-1.4000000000000057,101.9,1.8,2.6,5.1,16.4
0.29999999999999716,84.3,3.4,5.9,1.0,14.4
-1.7000000000000028,68.4,1.4,7.4,2.4,22.4
-1.9000000000000057,138.2,4.3,5.8,4.3,19.2
-3.5999999999999943,57.9,2.9,20.6,0.3,16.8
-4.599999999999994,118.6,2.4,13.3,4.4,14.0
-3.0,79.0,2.3,11.7,2.9,22.4
-2.299999999999997,110.0,3.1,13.9,0.8,41.6
-2.5,94.4,1.6,7.6,2.4,34.8
0.7000000000000028,83.6,1.3,0.1,2.8,10.0
-4.3999999999999915,83.9,1.1,18.1,0.5,30.4
0.7000000000000028,103.5,4.5,0.9,5.6,16.4
-5.0,79.1,3.1,16.4,5.2,26.4
2.799999999999997,69.9,4.4,1.2,5.2,12.4
-1.0,90.3,3.4,14.8,0.6,32.0
-0.5,88.0,1.5,2.0,1.1,44.8
