lifespan,genetic,mass,exercise,smoking,alcohol,sugar
73.1,73.9,99.7,0.9,0.0,2.4,27.6
85.0,86.0,105.4,1.8,8.1,0.4,16.8
81.6,83.3,111.4,1.1,0.8,4.6,30.0
81.0,82.8,111.4,4.7,11.8,1.0,11.6
75.0,78.7,71.6,1.5,8.3,4.9,22.0
87.5,88.2,54.3,1.8,0.4,2.1,32.0
86.8,84.1,91.6,4.3,2.2,0.2,24.0
69.4,76.8,127.9,2.6,21.0,1.7,14.8
86.1,92.1,68.0,1.9,17.8,5.1,28.4
77.8,79.0,118.1,3.7,0.5,1.2,24.4
82.1,84.9,94.3,2.0,7.7,5.1,25.6
83.3,85.1,86.4,1.9,3.1,4.8,40.4
72.3,78.0,106.6,0.7,14.0,1.0,31.6
74.6,76.5,57.3,3.0,14.0,1.0,25.2
80.0,80.7,107.1,1.9,0.5,4.0,21.2
78.6,81.1,109.1,1.7,11.0,0.7,19.6
86.8,91.6,78.4,1.6,13.5,5.0,50.8
67.5,74.9,125.6,1.8,16.8,4.8,18.4
79.0,81.0,117.4,4.6,20.5,1.3,14.8
80.2,80.6,85.7,3.6,12.3,4.5,4.0
98.5,98.1,60.9,3.4,2.6,4.0,31.6
72.9,77.8,97.9,3.3,16.7,3.5,38.4
67.3,72.4,127.1,3.0,14.3,5.7,38.8
84.8,86.7,51.9,1.8,0.5,5.3,34.0
83.6,82.3,84.3,4.1,0.7,3.0,54.8
71.2,73.1,121.9,4.1,4.5,5.6,9.6
64.9,68.3,81.8,1.6,20.0,0.3,21.6
77.5,82.5,122.9,1.2,11.6,5.7,30.4
62.9,72.6,105.5,2.2,18.5,5.6,39.6
87.9,89.4,63.7,1.8,2.8,2.3,23.6
75.5,76.6,56.9,2.4,3.4,4.6,20.4
79.1,78.1,87.1,3.5,2.4,4.9,34.0
72.7,79.3,127.7,1.6,16.5,1.5,34.0
99.5,101.0,103.9,2.4,0.5,5.2,42.8
80.3,81.9,87.9,1.8,18.5,5.1,44.0
71.5,74.0,79.5,3.9,21.7,4.3,32.8
83.1,85.5,129.9,1.2,3.8,4.5,16.0
85.0,85.3,72.9,1.2,0.3,1.5,35.6
93.6,94.1,97.0,3.0,1.8,1.3,22.4
89.7,94.2,98.5,1.2,17.1,2.2,31.6
76.8,79.6,81.3,1.2,13.0,2.0,32.8
88.9,91.0,137.6,3.5,9.6,2.1,33.2
81.2,86.4,99.9,0.9,11.9,4.2,9.2
63.4,69.6,105.5,4.6,20.7,2.9,7.2
85.0,84.1,70.3,3.9,5.0,0.8,32.4
73.2,78.5,105.8,2.5,13.8,4.4,44.0
94.4,93.8,96.8,3.4,4.0,4.4,19.2
73.7,76.6,123.3,1.6,7.1,0.4,54.4
83.0,86.1,64.4,2.0,16.4,2.0,14.0
76.3,79.7,58.6,2.0,14.6,2.3,26.0
80.2,85.6,138.9,1.4,10.6,4.5,31.2
82.9,83.8,78.2,1.1,0.2,5.0,18.8
80.9,80.9,56.7,2.0,0.3,2.0,32.4
74.4,75.6,85.4,3.1,8.5,6.0,21.2
91.4,92.7,57.0,2.9,3.8,5.0,21.6
78.8,81.1,63.9,1.8,14.0,0.1,45.6
82.3,80.2,82.0,3.8,0.7,2.4,16.8
80.4,81.6,108.7,2.7,21.2,0.2,28.4
85.0,84.4,68.4,2.2,2.8,1.2,28.4
65.1,66.2,95.7,1.8,7.3,0.3,45.6
86.6,85.6,103.6,2.1,0.2,0.5,13.6
88.7,90.0,77.4,3.6,13.0,1.5,33.2
72.9,73.6,53.0,4.4,10.2,0.7,14.4
79.4,81.6,74.6,2.9,15.4,4.7,18.0
84.3,85.8,102.8,1.2,2.8,0.9,21.2
73.6,81.6,142.3,1.2,19.7,0.4,32.0
80.0,85.3,86.1,2.8,15.4,5.1,26.8
80.4,81.7,64.2,3.8,13.8,3.3,12.4
83.0,84.6,62.6,3.5,11.4,1.4,12.4
91.3,93.2,95.3,4.0,9.8,4.7,24.0
96.3,99.5,85.5,2.5,10.0,5.7,38.8
89.8,88.3,92.3,3.0,1.0,2.4,20.8
75.9,79.3,70.0,2.0,17.8,3.9,40.4
71.4,72.1,135.6,3.7,3.0,4.8,24.0
95.1,97.0,74.2,3.7,10.9,4.0,29.6
88.4,89.8,107.1,3.2,10.7,4.8,39.2
77.0,80.6,59.6,2.3,15.4,1.3,6.8
78.9,84.3,105.0,4.3,19.8,4.5,32.0
80.0,80.6,68.0,2.7,9.1,4.9,19.6
71.3,79.4,143.3,0.2,13.1,2.1,41.2
88.0,89.8,109.9,1.5,0.5,5.1,35.2
84.6,86.6,115.1,1.3,1.8,0.4,28.4
86.6,89.9,85.6,2.7,21.0,1.7,24.0
89.8,90.3,128.5,2.1,1.4,3.9,28.0
77.6,77.8,111.2,3.9,0.4,5.1,19.6
74.1,82.4,113.1,0.1,18.1,4.7,24.0
82.5,85.3,113.0,2.0,10.7,0.6,29.6
81.8,84.7,105.0,1.5,5.4,4.2,15.6
84.4,87.9,65.3,2.4,11.0,4.2,8.4
70.6,75.6,61.6,2.3,20.3,1.4,19.6
78.1,81.1,61.4,1.2,7.6,4.6,20.8
65.4,67.2,129.2,2.2,3.0,0.5,42.8
76.4,77.2,61.8,3.1,5.8,5.3,32.0
65.5,69.7,93.4,1.2,11.7,3.8,47.2
85.3,88.7,123.3,1.7,11.6,2.1,10.0
71.9,73.6,135.1,2.5,6.1,4.5,33.6
73.9,76.8,66.8,1.8,15.5,0.9,31.2
86.3,82.7,86.9,4.3,0.8,0.5,19.6
82.8,84.7,115.4,2.6,9.6,4.8,32.0
72.9,77.1,54.6,2.1,20.0,0.4,28.4
74.4,76.7,70.9,1.7,11.6,1.3,18.8
100.1,100.1,129.2,1.8,0.1,4.6,27.6
76.8,76.7,61.6,1.4,1.2,1.7,19.2
73.0,76.6,74.1,1.4,20.6,0.3,27.2
96.1,98.1,72.1,2.2,11.6,3.1,32.4
91.8,92.7,68.3,3.5,8.0,1.3,18.8
76.2,79.8,123.0,1.8,18.0,1.7,24.4
75.8,76.2,94.1,1.4,6.5,2.8,29.2
86.1,90.2,76.3,0.2,11.0,3.6,34.0
76.9,81.5,73.1,1.7,16.6,3.9,17.2
74.9,79.2,80.3,3.4,17.5,3.8,36.0
74.3,75.8,115.1,1.8,4.1,3.5,27.2
73.7,75.6,87.4,3.4,5.0,4.2,45.2
77.3,77.4,76.6,1.6,2.3,0.1,50.8
77.8,78.9,85.5,2.9,11.0,0.8,24.4
75.6,77.2,113.9,2.9,21.9,0.6,18.8
84.0,89.4,106.8,1.5,18.7,4.5,47.2
74.4,77.3,88.3,1.6,14.7,0.3,42.4
76.3,77.7,146.0,1.9,1.4,4.5,13.6
88.7,88.0,84.4,3.2,1.9,4.7,22.4
63.4,73.5,142.7,1.7,20.1,3.0,20.8
75.0,74.9,112.7,4.2,0.2,0.4,41.6
92.5,98.0,154.8,2.7,17.3,0.5,26.0
79.0,86.0,115.6,0.8,21.6,4.3,34.8
92.6,91.8,92.0,4.7,15.1,0.6,40.4
68.4,68.9,83.0,3.4,6.1,2.6,32.0
77.3,81.7,110.3,1.4,16.8,4.8,14.4
90.2,91.7,70.8,0.9,7.5,1.2,28.0
75.3,78.7,96.5,1.7,8.9,0.4,19.2
71.1,69.5,55.0,4.0,0.6,0.7,31.6
72.3,76.3,82.9,1.5,16.6,0.5,28.4
77.7,78.3,113.5,1.7,0.2,1.0,24.8
81.1,86.3,66.4,2.3,19.1,0.9,41.6
81.0,82.2,94.6,2.8,6.9,5.3,17.6
80.8,84.3,96.1,1.3,9.6,5.3,28.4
62.7,73.3,159.5,1.7,19.4,4.6,28.4
81.8,80.0,74.3,5.4,5.0,1.5,22.4
80.6,79.5,60.7,2.4,3.4,5.4,12.8
70.5,74.1,91.5,1.4,18.7,0.9,32.0
87.7,88.7,79.4,1.8,4.5,0.3,53.2
84.3,86.8,96.9,2.0,12.4,3.9,20.4
73.9,76.7,107.4,3.1,9.6,3.5,42.0
83.2,84.5,56.0,3.2,13.8,0.8,27.2
80.2,80.4,51.0,1.5,1.1,0.5,23.2
81.6,81.8,98.8,3.0,3.7,5.0,36.8
73.7,75.5,97.9,1.3,7.6,0.3,9.2
88.0,91.4,97.6,1.3,14.1,4.3,26.8
89.6,93.7,64.5,2.6,18.4,5.1,25.2
86.9,86.2,97.5,3.6,1.0,4.1,12.8
81.0,82.6,102.7,1.7,10.1,2.7,9.2
72.2,71.6,110.5,5.3,12.7,3.6,14.8
70.8,75.9,66.0,2.0,16.1,4.2,32.8
89.8,93.2,112.5,4.7,12.8,0.7,28.0
79.9,86.0,119.1,3.3,20.2,0.4,24.8
84.0,83.8,57.3,1.8,0.1,1.1,12.8
79.2,84.3,108.9,3.5,18.6,1.0,18.0
86.5,90.5,65.5,2.1,11.8,0.9,3.2
