lifespan,genetic,length,mass,alcohol,bmi norm under,bmi norm over
73.1,73.9,185.0,99.7,2.4,0.0,4.130752373995616
85.0,86.0,172.0,105.4,0.4,0.0,10.62736614386155
81.6,83.3,176.0,111.4,4.6,0.0,10.963326446280995
81.0,82.8,164.0,111.4,1.0,0.0,16.41879833432482
75.0,78.7,178.0,71.6,4.9,0.0,0.0
87.5,88.2,192.0,54.3,2.1,-3.770182291666668,0.0
86.8,84.1,180.0,91.6,0.2,0.0,3.271604938271601
69.4,76.8,185.0,127.9,1.7,0.0,12.370343316289258
86.1,92.1,191.0,68.0,5.1,0.0,0.0
77.8,79.0,164.0,118.1,1.2,0.0,18.909875074360507
82.1,84.9,190.0,94.3,5.1,0.0,1.121883656509695
83.3,85.1,213.0,86.4,4.8,0.0,0.0
72.3,78.0,167.0,106.6,1.0,0.0,13.222955287030729
74.6,76.5,181.0,57.3,1.0,-1.0096914013613763,0.0
80.0,80.7,176.0,107.1,4.0,0.0,9.575154958677686
78.6,81.1,191.0,109.1,0.7,0.0,4.905978454537976
86.8,91.6,175.0,78.4,5.0,0.0,0.6000000000000014
67.5,74.9,191.0,125.6,4.8,0.0,9.428880787259118
79.0,81.0,178.0,117.4,1.3,0.0,12.053402348188364
80.2,80.6,175.0,85.7,4.5,0.0,2.9836734693877567
98.5,98.1,162.0,60.9,4.0,0.0,0.0
72.9,77.8,178.0,97.9,3.5,0.0,5.898876404494384
67.3,72.4,170.0,127.1,5.7,0.0,18.979238754325266
84.8,86.7,185.0,51.9,5.3,-3.33564645726808,0.0
83.6,82.3,180.0,84.3,3.0,0.0,1.0185185185185155
71.2,73.1,171.0,121.9,5.6,0.0,16.688040764679734
64.9,68.3,190.0,81.8,0.3,0.0,0.0
77.5,82.5,179.0,122.9,5.7,0.0,13.357104959270934
62.9,72.6,159.0,105.5,5.6,0.0,16.73094418733436
87.9,89.4,189.0,63.7,2.3,-0.6673525377229055,0.0
75.5,76.6,184.0,56.9,4.6,-1.693525519848773,0.0
79.1,78.1,201.0,87.1,4.9,0.0,0.0
72.7,79.3,169.0,127.7,1.5,0.0,19.711319631665567
99.5,101.0,174.0,103.9,5.2,0.0,9.317611309287884
80.3,81.9,162.0,87.9,5.1,0.0,8.493369913122997
71.5,74.0,176.0,79.5,4.3,0.0,0.6650309917355379
83.1,85.5,208.0,129.9,4.5,0.0,5.024963017751478
85.0,85.3,204.0,72.9,1.5,-0.9826989619377144,0.0
93.6,94.1,176.0,97.0,1.3,0.0,6.31456611570248
89.7,94.2,192.0,98.5,2.2,0.0,1.7198350694444464
76.8,79.6,177.0,81.3,2.0,0.0,0.9503973953844636
88.9,91.0,178.0,137.6,2.1,0.0,18.428859992425195
81.2,86.4,174.0,99.9,4.2,0.0,7.996432818073721
63.4,69.6,177.0,105.5,2.9,0.0,8.674869928819938
85.0,84.1,170.0,70.3,0.8,0.0,0.0
73.2,78.5,177.0,105.8,4.4,0.0,8.770627852788145
94.4,93.8,184.0,96.8,4.4,0.0,3.5916824196597332
73.7,76.6,179.0,123.3,0.4,0.0,13.48194500795855
83.0,86.1,176.0,64.4,2.0,0.0,0.0
76.3,79.7,169.0,58.6,2.3,0.0,0.0
80.2,85.6,189.0,138.9,4.5,0.0,13.884689678340479
82.9,83.8,201.0,78.2,5.0,0.0,0.0
80.9,80.9,174.0,56.7,2.0,0.0,0.0
74.4,75.6,200.0,85.4,6.0,0.0,0.0
91.4,92.7,188.0,57.0,5.0,-2.3727931190583966,0.0
78.8,81.1,167.0,63.9,0.1,0.0,0.0
82.3,80.2,199.0,82.0,2.4,0.0,0.0
80.4,81.6,179.0,108.7,0.2,0.0,8.925283230860458
85.0,84.4,163.0,68.4,1.2,0.0,0.744288456471832
65.1,66.2,169.0,95.7,0.3,0.0,8.50723013900074
86.6,85.6,187.0,103.6,0.5,0.0,4.626240384340409
88.7,90.0,169.0,77.4,1.5,0.0,2.099891460383045
72.9,73.6,200.0,53.0,0.7,-5.25,0.0
79.4,81.6,196.0,74.6,4.7,0.0,0.0
84.3,85.8,171.0,102.8,0.9,0.0,10.156116411887425
73.6,81.6,171.0,142.3,0.4,0.0,23.66454635614378
80.0,85.3,193.0,86.1,5.1,0.0,0.0
80.4,81.7,197.0,64.2,3.3,-1.9574454379138864,0.0
83.0,84.6,201.0,62.6,1.4,-3.0053340263854817,0.0
91.3,93.2,182.0,95.3,4.7,0.0,3.7706798695809667
96.3,99.5,179.0,85.5,5.7,0.0,1.6845604069785587
89.8,88.3,180.0,92.3,2.4,0.0,3.4876543209876516
75.9,79.3,168.0,70.0,3.9,0.0,0.0
71.4,72.1,205.0,135.6,4.8,0.0,7.26650803093397
95.1,97.0,185.0,74.2,4.0,0.0,0.0
88.4,89.8,186.0,107.1,4.8,0.0,5.9573361082205984
77.0,80.6,184.0,59.6,1.3,-0.8960302457466938,0.0
78.9,84.3,164.0,105.0,4.5,0.0,14.039262343842957
80.0,80.6,169.0,68.0,4.9,0.0,0.0
71.3,79.4,178.0,143.3,2.1,0.0,20.22787526827421
88.0,89.8,185.0,109.9,5.1,0.0,7.111029948867788
84.6,86.6,171.0,115.1,0.4,0.0,14.362538900858382
86.6,89.9,173.0,85.6,1.7,0.0,3.6010224197266822
89.8,90.3,206.0,128.5,3.9,0.0,5.280893580921859
77.6,77.8,171.0,111.2,5.1,0.0,13.028795184843204
74.1,82.4,166.0,113.1,4.7,0.0,16.043692843663813
82.5,85.3,196.0,113.0,0.6,0.0,4.41482715535194
81.8,84.7,173.0,105.0,4.2,0.0,10.083029837281565
84.4,87.9,210.0,65.3,4.2,-3.692743764172336,0.0
70.6,75.6,179.0,61.6,1.4,0.0,0.0
78.1,81.1,205.0,61.4,4.6,-3.8896490184414034,0.0
65.4,67.2,181.0,129.2,0.5,0.0,14.437135618570856
76.4,77.2,165.0,61.8,5.3,0.0,0.0
65.5,69.7,170.0,93.4,3.8,0.0,7.318339100346023
85.3,88.7,177.0,123.3,2.1,0.0,14.356506750933633
71.9,73.6,198.0,135.1,4.5,0.0,9.460769309254154
73.9,76.8,194.0,66.8,0.9,-0.7510362418960561,0.0
86.3,82.7,178.0,86.9,0.5,0.0,2.427092538820858
82.8,84.7,189.0,115.4,4.8,0.0,7.30592648582067
72.9,77.1,191.0,54.6,0.4,-3.5333050080863995,0.0
74.4,76.7,173.0,70.9,1.3,0.0,0.0
100.1,100.1,188.0,129.2,4.6,0.0,11.555002263467628
76.8,76.7,198.0,61.6,1.7,-2.7873176206509527,0.0
73.0,76.6,190.0,74.1,0.3,0.0,0.0
96.1,98.1,179.0,72.1,3.1,0.0,0.0
91.8,92.7,191.0,68.3,1.3,0.0,0.0
76.2,79.8,193.0,123.0,1.7,0.0,8.021020698542245
75.8,76.2,184.0,94.1,2.8,0.0,2.794187145557654
