dif_lifespan,length,exercise,smoking,alcohol,sugar
-0.8000000000000114,185.0,0.9,0.0,2.4,27.6
-1.0,172.0,1.8,8.1,0.4,16.8
-1.7000000000000028,176.0,1.1,0.8,4.6,30.0
-1.7999999999999972,164.0,4.7,11.8,1.0,11.6
-3.700000000000003,178.0,1.5,8.3,4.9,22.0
-0.7000000000000028,192.0,1.8,0.4,2.1,32.0
2.700000000000003,180.0,4.3,2.2,0.2,24.0
-7.3999999999999915,185.0,2.6,21.0,1.7,14.8
-6.0,191.0,1.9,17.8,5.1,28.4
-1.2000000000000028,164.0,3.7,0.5,1.2,24.4
-2.8000000000000114,190.0,2.0,7.7,5.1,25.6
-1.7999999999999972,213.0,1.9,3.1,4.8,40.4
-5.700000000000003,167.0,0.7,14.0,1.0,31.6
-1.9000000000000057,181.0,3.0,14.0,1.0,25.2
-0.7000000000000028,176.0,1.9,0.5,4.0,21.2
-2.5,191.0,1.7,11.0,0.7,19.6
-4.799999999999997,175.0,1.6,13.5,5.0,50.8
-7.400000000000006,191.0,1.8,16.8,4.8,18.4
-2.0,178.0,4.6,20.5,1.3,14.8
-0.3999999999999915,175.0,3.6,12.3,4.5,4.0
0.4000000000000057,162.0,3.4,2.6,4.0,31.6
-4.8999999999999915,178.0,3.3,16.7,3.5,38.4
-5.1000000000000085,170.0,3.0,14.3,5.7,38.8
-1.9000000000000057,185.0,1.8,0.5,5.3,34.0
1.2999999999999972,180.0,4.1,0.7,3.0,54.8
-1.8999999999999915,171.0,4.1,4.5,5.6,9.6
-3.3999999999999915,190.0,1.6,20.0,0.3,21.6
-5.0,179.0,1.2,11.6,5.7,30.4
-9.699999999999996,159.0,2.2,18.5,5.6,39.6
-1.5,189.0,1.8,2.8,2.3,23.6
-1.0999999999999943,184.0,2.4,3.4,4.6,20.4
1.0,201.0,3.5,2.4,4.9,34.0
-6.599999999999994,169.0,1.6,16.5,1.5,34.0
-1.5,174.0,2.4,0.5,5.2,42.8
-1.6000000000000085,162.0,1.8,18.5,5.1,44.0
-2.5,176.0,3.9,21.7,4.3,32.8
-2.4000000000000057,208.0,1.2,3.8,4.5,16.0
-0.29999999999999716,204.0,1.2,0.3,1.5,35.6
-0.5,176.0,3.0,1.8,1.3,22.4
-4.5,192.0,1.2,17.1,2.2,31.6
-2.799999999999997,177.0,1.2,13.0,2.0,32.8
-2.0999999999999943,178.0,3.5,9.6,2.1,33.2
-5.200000000000003,174.0,0.9,11.9,4.2,9.2
-6.199999999999996,177.0,4.6,20.7,2.9,7.2
0.9000000000000057,170.0,3.9,5.0,0.8,32.4
-5.299999999999997,177.0,2.5,13.8,4.4,44.0
0.6000000000000085,184.0,3.4,4.0,4.4,19.2
-2.8999999999999915,179.0,1.6,7.1,0.4,54.4
-3.0999999999999943,176.0,2.0,16.4,2.0,14.0
-3.4000000000000057,169.0,2.0,14.6,2.3,26.0
-5.3999999999999915,189.0,1.4,10.6,4.5,31.2
-0.8999999999999915,201.0,1.1,0.2,5.0,18.8
0.0,174.0,2.0,0.3,2.0,32.4
-1.1999999999999886,200.0,3.1,8.5,6.0,21.2
-1.2999999999999972,188.0,2.9,3.8,5.0,21.6
-2.299999999999997,167.0,1.8,14.0,0.1,45.6
2.0999999999999943,199.0,3.8,0.7,2.4,16.8
-1.1999999999999886,179.0,2.7,21.2,0.2,28.4
0.5999999999999943,163.0,2.2,2.8,1.2,28.4
-1.1000000000000085,169.0,1.8,7.3,0.3,45.6
1.0,187.0,2.1,0.2,0.5,13.6
-1.2999999999999972,169.0,3.6,13.0,1.5,33.2
-0.6999999999999886,200.0,4.4,10.2,0.7,14.4
-2.1999999999999886,196.0,2.9,15.4,4.7,18.0
-1.5,171.0,1.2,2.8,0.9,21.2
-8.0,171.0,1.2,19.7,0.4,32.0
-5.299999999999997,193.0,2.8,15.4,5.1,26.8
-1.2999999999999972,197.0,3.8,13.8,3.3,12.4
-1.5999999999999943,201.0,3.5,11.4,1.4,12.4
-1.9000000000000057,182.0,4.0,9.8,4.7,24.0
-3.200000000000003,179.0,2.5,10.0,5.7,38.8
1.5,180.0,3.0,1.0,2.4,20.8
