lifespan,genetic,length,mass,exercise,smoking,alcohol,sugar,bmi
73.1,73.9,185.0,99.7,0.9,0.0,2.4,27.6,29.130752373995616
85.0,86.0,172.0,105.4,1.8,8.1,0.4,16.8,35.62736614386155
81.6,83.3,176.0,111.4,1.1,0.8,4.6,30.0,35.963326446280995
81.0,82.8,164.0,111.4,4.7,11.8,1.0,11.6,41.41879833432482
75.0,78.7,178.0,71.6,1.5,8.3,4.9,22.0,22.59815679838404
87.5,88.2,192.0,54.3,1.8,0.4,2.1,32.0,14.729817708333332
86.8,84.1,180.0,91.6,4.3,2.2,0.2,24.0,28.2716049382716
69.4,76.8,185.0,127.9,2.6,21.0,1.7,14.8,37.37034331628926
86.1,92.1,191.0,68.0,1.9,17.8,5.1,28.4,18.63983991666895
77.8,79.0,164.0,118.1,3.7,0.5,1.2,24.4,43.90987507436051
82.1,84.9,190.0,94.3,2.0,7.7,5.1,25.6,26.121883656509695
83.3,85.1,213.0,86.4,1.9,3.1,4.8,40.4,19.04384050783575
72.3,78.0,167.0,106.6,0.7,14.0,1.0,31.6,38.22295528703073
74.6,76.5,181.0,57.3,3.0,14.0,1.0,25.2,17.490308598638624
80.0,80.7,176.0,107.1,1.9,0.5,4.0,21.2,34.575154958677686
78.6,81.1,191.0,109.1,1.7,11.0,0.7,19.6,29.905978454537976
86.8,91.6,175.0,78.4,1.6,13.5,5.0,50.8,25.6
67.5,74.9,191.0,125.6,1.8,16.8,4.8,18.4,34.42888078725912
79.0,81.0,178.0,117.4,4.6,20.5,1.3,14.8,37.053402348188364
80.2,80.6,175.0,85.7,3.6,12.3,4.5,4.0,27.983673469387757
98.5,98.1,162.0,60.9,3.4,2.6,4.0,31.6,23.205304069501594
72.9,77.8,178.0,97.9,3.3,16.7,3.5,38.4,30.898876404494384
67.3,72.4,170.0,127.1,3.0,14.3,5.7,38.8,43.979238754325266
84.8,86.7,185.0,51.9,1.8,0.5,5.3,34.0,15.16435354273192
83.6,82.3,180.0,84.3,4.1,0.7,3.0,54.8,26.018518518518515
71.2,73.1,171.0,121.9,4.1,4.5,5.6,9.6,41.688040764679734
64.9,68.3,190.0,81.8,1.6,20.0,0.3,21.6,22.65927977839335
77.5,82.5,179.0,122.9,1.2,11.6,5.7,30.4,38.357104959270934
62.9,72.6,159.0,105.5,2.2,18.5,5.6,39.6,41.73094418733436
87.9,89.4,189.0,63.7,1.8,2.8,2.3,23.6,17.832647462277095
75.5,76.6,184.0,56.9,2.4,3.4,4.6,20.4,16.806474480151227
79.1,78.1,201.0,87.1,3.5,2.4,4.9,34.0,21.558872305140966
72.7,79.3,169.0,127.7,1.6,16.5,1.5,34.0,44.71131963166557
99.5,101.0,174.0,103.9,2.4,0.5,5.2,42.8,34.317611309287884
80.3,81.9,162.0,87.9,1.8,18.5,5.1,44.0,33.493369913123
71.5,74.0,176.0,79.5,3.9,21.7,4.3,32.8,25.665030991735538
83.1,85.5,208.0,129.9,1.2,3.8,4.5,16.0,30.024963017751478
85.0,85.3,204.0,72.9,1.2,0.3,1.5,35.6,17.517301038062286
93.6,94.1,176.0,97.0,3.0,1.8,1.3,22.4,31.31456611570248
89.7,94.2,192.0,98.5,1.2,17.1,2.2,31.6,26.719835069444446
76.8,79.6,177.0,81.3,1.2,13.0,2.0,32.8,25.950397395384464
88.9,91.0,178.0,137.6,3.5,9.6,2.1,33.2,43.428859992425195
