lifespan,mass,exercise,alcohol,sugar,bmi under,bmi over,bmi obese,bmi morbid,smoking few,smoking some,smoking more,smoking alot,smoking most
73.1,99.7,0.9,2.4,27.6,False,False,True,False,False,False,False,False,False
85.0,105.4,1.8,0.4,16.8,False,False,False,True,False,True,False,False,False
81.6,111.4,1.1,4.6,30.0,False,False,False,True,True,False,False,False,False
81.0,111.4,4.7,1.0,11.6,False,False,False,True,False,False,True,False,False
75.0,71.6,1.5,4.9,22.0,False,True,False,False,False,True,False,False,False
87.5,54.3,1.8,2.1,32.0,True,False,False,False,True,False,False,False,False
86.8,91.6,4.3,0.2,24.0,False,False,True,False,True,False,False,False,False
69.4,127.9,2.6,1.7,14.8,False,False,False,True,False,False,False,False,True
86.1,68.0,1.9,5.1,28.4,False,True,False,False,False,False,False,True,False
77.8,118.1,3.7,1.2,24.4,False,False,False,True,True,False,False,False,False
82.1,94.3,2.0,5.1,25.6,False,False,True,False,False,True,False,False,False
83.3,86.4,1.9,4.8,40.4,False,True,False,False,True,False,False,False,False
72.3,106.6,0.7,1.0,31.6,False,False,False,True,False,False,True,False,False
74.6,57.3,3.0,1.0,25.2,True,False,False,False,False,False,True,False,False
80.0,107.1,1.9,4.0,21.2,False,False,False,True,True,False,False,False,False
78.6,109.1,1.7,0.7,19.6,False,False,True,False,False,False,True,False,False
86.8,78.4,1.6,5.0,50.8,False,False,True,False,False,False,True,False,False
67.5,125.6,1.8,4.8,18.4,False,False,False,True,False,False,False,True,False
79.0,117.4,4.6,1.3,14.8,False,False,False,True,False,False,False,False,True
80.2,85.7,3.6,4.5,4.0,False,False,True,False,False,False,True,False,False
98.5,60.9,3.4,4.0,31.6,False,True,False,False,True,False,False,False,False
72.9,97.9,3.3,3.5,38.4,False,False,False,True,False,False,False,True,False
67.3,127.1,3.0,5.7,38.8,False,False,False,True,False,False,True,False,False
84.8,51.9,1.8,5.3,34.0,True,False,False,False,True,False,False,False,False
83.6,84.3,4.1,3.0,54.8,False,False,True,False,True,False,False,False,False
71.2,121.9,4.1,5.6,9.6,False,False,False,True,True,False,False,False,False
64.9,81.8,1.6,0.3,21.6,False,True,False,False,False,False,False,True,False
77.5,122.9,1.2,5.7,30.4,False,False,False,True,False,False,True,False,False
62.9,105.5,2.2,5.6,39.6,False,False,False,True,False,False,False,True,False
87.9,63.7,1.8,2.3,23.6,True,False,False,False,True,False,False,False,False
75.5,56.9,2.4,4.6,20.4,True,False,False,False,True,False,False,False,False
79.1,87.1,3.5,4.9,34.0,False,True,False,False,True,False,False,False,False
72.7,127.7,1.6,1.5,34.0,False,False,False,True,False,False,False,True,False
99.5,103.9,2.4,5.2,42.8,False,False,False,True,True,False,False,False,False
80.3,87.9,1.8,5.1,44.0,False,False,False,True,False,False,False,True,False
71.5,79.5,3.9,4.3,32.8,False,False,True,False,False,False,False,False,True
83.1,129.9,1.2,4.5,16.0,False,False,False,True,True,False,False,False,False
85.0,72.9,1.2,1.5,35.6,True,False,False,False,True,False,False,False,False
93.6,97.0,3.0,1.3,22.4,False,False,False,True,True,False,False,False,False
89.7,98.5,1.2,2.2,31.6,False,False,True,False,False,False,False,True,False
76.8,81.3,1.2,2.0,32.8,False,False,True,False,False,False,True,False,False
88.9,137.6,3.5,2.1,33.2,False,False,False,True,False,True,False,False,False
81.2,99.9,0.9,4.2,9.2,False,False,False,True,False,False,True,False,False
63.4,105.5,4.6,2.9,7.2,False,False,False,True,False,False,False,False,True
85.0,70.3,3.9,0.8,32.4,False,True,False,False,True,False,False,False,False
73.2,105.8,2.5,4.4,44.0,False,False,False,True,False,False,True,False,False
94.4,96.8,3.4,4.4,19.2,False,False,True,False,True,False,False,False,False
73.7,123.3,1.6,0.4,54.4,False,False,False,True,False,True,False,False,False
83.0,64.4,2.0,2.0,14.0,False,True,False,False,False,False,False,True,False
76.3,58.6,2.0,2.3,26.0,False,True,False,False,False,False,True,False,False
80.2,138.9,1.4,4.5,31.2,False,False,False,True,False,False,True,False,False
82.9,78.2,1.1,5.0,18.8,False,True,False,False,True,False,False,False,False
80.9,56.7,2.0,2.0,32.4,False,True,False,False,True,False,False,False,False
74.4,85.4,3.1,6.0,21.2,False,True,False,False,False,True,False,False,False
91.4,57.0,2.9,5.0,21.6,True,False,False,False,True,False,False,False,False
78.8,63.9,1.8,0.1,45.6,False,True,False,False,False,False,True,False,False
82.3,82.0,3.8,2.4,16.8,False,True,False,False,True,False,False,False,False
80.4,108.7,2.7,0.2,28.4,False,False,False,True,False,False,False,False,True
85.0,68.4,2.2,1.2,28.4,False,False,True,False,True,False,False,False,False
65.1,95.7,1.8,0.3,45.6,False,False,False,True,False,True,False,False,False
86.6,103.6,2.1,0.5,13.6,False,False,True,False,True,False,False,False,False
88.7,77.4,3.6,1.5,33.2,False,False,True,False,False,False,True,False,False
72.9,53.0,4.4,0.7,14.4,True,False,False,False,False,False,True,False,False
79.4,74.6,2.9,4.7,18.0,False,True,False,False,False,False,False,True,False
84.3,102.8,1.2,0.9,21.2,False,False,False,True,True,False,False,False,False
73.6,142.3,1.2,0.4,32.0,False,False,False,True,False,False,False,True,False
80.0,86.1,2.8,5.1,26.8,False,True,False,False,False,False,False,True,False
80.4,64.2,3.8,3.3,12.4,True,False,False,False,False,False,True,False,False
83.0,62.6,3.5,1.4,12.4,True,False,False,False,False,False,True,False,False
91.3,95.3,4.0,4.7,24.0,False,False,True,False,False,True,False,False,False
96.3,85.5,2.5,5.7,38.8,False,False,True,False,False,True,False,False,False
89.8,92.3,3.0,2.4,20.8,False,False,True,False,True,False,False,False,False
75.9,70.0,2.0,3.9,40.4,False,True,False,False,False,False,False,True,False
71.4,135.6,3.7,4.8,24.0,False,False,False,True,True,False,False,False,False
95.1,74.2,3.7,4.0,29.6,False,True,False,False,False,False,True,False,False
88.4,107.1,3.2,4.8,39.2,False,False,False,True,False,False,True,False,False
77.0,59.6,2.3,1.3,6.8,True,False,False,False,False,False,False,True,False
78.9,105.0,4.3,4.5,32.0,False,False,False,True,False,False,False,True,False
80.0,68.0,2.7,4.9,19.6,False,True,False,False,False,True,False,False,False
71.3,143.3,0.2,2.1,41.2,False,False,False,True,False,False,True,False,False
88.0,109.9,1.5,5.1,35.2,False,False,False,True,True,False,False,False,False
84.6,115.1,1.3,0.4,28.4,False,False,False,True,True,False,False,False,False
86.6,85.6,2.7,1.7,24.0,False,False,True,False,False,False,False,False,True
89.8,128.5,2.1,3.9,28.0,False,False,False,True,True,False,False,False,False
77.6,111.2,3.9,5.1,19.6,False,False,False,True,True,False,False,False,False
74.1,113.1,0.1,4.7,24.0,False,False,False,True,False,False,False,True,False
82.5,113.0,2.0,0.6,29.6,False,False,True,False,False,False,True,False,False
81.8,105.0,1.5,4.2,15.6,False,False,False,True,False,True,False,False,False
84.4,65.3,2.4,4.2,8.4,True,False,False,False,False,False,True,False,False
70.6,61.6,2.3,1.4,19.6,False,True,False,False,False,False,False,False,True
78.1,61.4,1.2,4.6,20.8,True,False,False,False,False,True,False,False,False
65.4,129.2,2.2,0.5,42.8,False,False,False,True,True,False,False,False,False
76.4,61.8,3.1,5.3,32.0,False,True,False,False,False,True,False,False,False
65.5,93.4,1.2,3.8,47.2,False,False,False,True,False,False,True,False,False
85.3,123.3,1.7,2.1,10.0,False,False,False,True,False,False,True,False,False
71.9,135.1,2.5,4.5,33.6,False,False,False,True,False,True,False,False,False
73.9,66.8,1.8,0.9,31.2,True,False,False,False,False,False,False,True,False
86.3,86.9,4.3,0.5,19.6,False,False,True,False,True,False,False,False,False
82.8,115.4,2.6,4.8,32.0,False,False,False,True,False,True,False,False,False
72.9,54.6,2.1,0.4,28.4,True,False,False,False,False,False,False,True,False
74.4,70.9,1.7,1.3,18.8,False,True,False,False,False,False,True,False,False
100.1,129.2,1.8,4.6,27.6,False,False,False,True,True,False,False,False,False
76.8,61.6,1.4,1.7,19.2,True,False,False,False,True,False,False,False,False
73.0,74.1,1.4,0.3,27.2,False,True,False,False,False,False,False,False,True
96.1,72.1,2.2,3.1,32.4,False,True,False,False,False,False,True,False,False
91.8,68.3,3.5,1.3,18.8,False,True,False,False,False,True,False,False,False
76.2,123.0,1.8,1.7,24.4,False,False,False,True,False,False,False,True,False
75.8,94.1,1.4,2.8,29.2,False,False,True,False,False,True,False,False,False
86.1,76.3,0.2,3.6,34.0,False,False,True,False,False,False,True,False,False
76.9,73.1,1.7,3.9,17.2,False,True,False,False,False,False,False,True,False
74.9,80.3,3.4,3.8,36.0,False,True,False,False,False,False,False,True,False
74.3,115.1,1.8,3.5,27.2,False,False,False,True,True,False,False,False,False
