lifespan,genetic,length,mass,exercise,alcohol,sugar,bmi under,bmi over,bmi obese,bmi morbid,smoking few,smoking some,smoking more,smoking alot,smoking most
73.1,73.9,185.0,99.7,0.9,2.4,27.6,False,False,True,False,False,False,False,False,False
85.0,86.0,172.0,105.4,1.8,0.4,16.8,False,False,False,True,False,True,False,False,False
81.6,83.3,176.0,111.4,1.1,4.6,30.0,False,False,False,True,True,False,False,False,False
81.0,82.8,164.0,111.4,4.7,1.0,11.6,False,False,False,True,False,False,True,False,False
75.0,78.7,178.0,71.6,1.5,4.9,22.0,False,True,False,False,False,True,False,False,False
87.5,88.2,192.0,54.3,1.8,2.1,32.0,True,False,False,False,True,False,False,False,False
86.8,84.1,180.0,91.6,4.3,0.2,24.0,False,False,True,False,True,False,False,False,False
69.4,76.8,185.0,127.9,2.6,1.7,14.8,False,False,False,True,False,False,False,False,True
86.1,92.1,191.0,68.0,1.9,5.1,28.4,False,True,False,False,False,False,False,True,False
77.8,79.0,164.0,118.1,3.7,1.2,24.4,False,False,False,True,True,False,False,False,False
82.1,84.9,190.0,94.3,2.0,5.1,25.6,False,False,True,False,False,True,False,False,False
83.3,85.1,213.0,86.4,1.9,4.8,40.4,False,True,False,False,True,False,False,False,False
72.3,78.0,167.0,106.6,0.7,1.0,31.6,False,False,False,True,False,False,True,False,False
74.6,76.5,181.0,57.3,3.0,1.0,25.2,True,False,False,False,False,False,True,False,False
80.0,80.7,176.0,107.1,1.9,4.0,21.2,False,False,False,True,True,False,False,False,False
78.6,81.1,191.0,109.1,1.7,0.7,19.6,False,False,True,False,False,False,True,False,False
86.8,91.6,175.0,78.4,1.6,5.0,50.8,False,False,True,False,False,False,True,False,False
67.5,74.9,191.0,125.6,1.8,4.8,18.4,False,False,False,True,False,False,False,True,False
79.0,81.0,178.0,117.4,4.6,1.3,14.8,False,False,False,True,False,False,False,False,True
80.2,80.6,175.0,85.7,3.6,4.5,4.0,False,False,True,False,False,False,True,False,False
98.5,98.1,162.0,60.9,3.4,4.0,31.6,False,True,False,False,True,False,False,False,False
72.9,77.8,178.0,97.9,3.3,3.5,38.4,False,False,False,True,False,False,False,True,False
67.3,72.4,170.0,127.1,3.0,5.7,38.8,False,False,False,True,False,False,True,False,False
84.8,86.7,185.0,51.9,1.8,5.3,34.0,True,False,False,False,True,False,False,False,False
83.6,82.3,180.0,84.3,4.1,3.0,54.8,False,False,True,False,True,False,False,False,False
