dif_lifespan,mass,exercise,alcohol,sugar,bmi norm under,bmi norm over,smoking few,smoking some,smoking more,smoking alot,smoking most
-0.8000000000000114,99.7,0.9,2.4,27.6,0.0,4.130752373995616,False,False,False,False,False
-1.0,105.4,1.8,0.4,16.8,0.0,10.62736614386155,False,True,False,False,False
-1.7000000000000028,111.4,1.1,4.6,30.0,0.0,10.963326446280995,True,False,False,False,False
-1.7999999999999972,111.4,4.7,1.0,11.6,0.0,16.41879833432482,False,False,True,False,False
-3.700000000000003,71.6,1.5,4.9,22.0,0.0,0.0,False,True,False,False,False
-0.7000000000000028,54.3,1.8,2.1,32.0,-3.770182291666668,0.0,True,False,False,False,False
2.700000000000003,91.6,4.3,0.2,24.0,0.0,3.271604938271601,True,False,False,False,False
-7.3999999999999915,127.9,2.6,1.7,14.8,0.0,12.370343316289258,False,False,False,False,True
-6.0,68.0,1.9,5.1,28.4,0.0,0.0,False,False,False,True,False
-1.2000000000000028,118.1,3.7,1.2,24.4,0.0,18.909875074360507,True,False,False,False,False
-2.8000000000000114,94.3,2.0,5.1,25.6,0.0,1.121883656509695,False,True,False,False,False
-1.7999999999999972,86.4,1.9,4.8,40.4,0.0,0.0,True,False,False,False,False
-5.700000000000003,106.6,0.7,1.0,31.6,0.0,13.222955287030729,False,False,True,False,False
-1.9000000000000057,57.3,3.0,1.0,25.2,-1.0096914013613763,0.0,False,False,True,False,False
-0.7000000000000028,107.1,1.9,4.0,21.2,0.0,9.575154958677686,True,False,False,False,False
-2.5,109.1,1.7,0.7,19.6,0.0,4.905978454537976,False,False,True,False,False
-4.799999999999997,78.4,1.6,5.0,50.8,0.0,0.6000000000000014,False,False,True,False,False
-7.400000000000006,125.6,1.8,4.8,18.4,0.0,9.428880787259118,False,False,False,True,False
-2.0,117.4,4.6,1.3,14.8,0.0,12.053402348188364,False,False,False,False,True
-0.3999999999999915,85.7,3.6,4.5,4.0,0.0,2.9836734693877567,False,False,True,False,False
0.4000000000000057,60.9,3.4,4.0,31.6,0.0,0.0,True,False,False,False,False
-4.8999999999999915,97.9,3.3,3.5,38.4,0.0,5.898876404494384,False,False,False,True,False
-5.1000000000000085,127.1,3.0,5.7,38.8,0.0,18.979238754325266,False,False,True,False,False
-1.9000000000000057,51.9,1.8,5.3,34.0,-3.33564645726808,0.0,True,False,False,False,False
1.2999999999999972,84.3,4.1,3.0,54.8,0.0,1.0185185185185155,True,False,False,False,False
-1.8999999999999915,121.9,4.1,5.6,9.6,0.0,16.688040764679734,True,False,False,False,False
-3.3999999999999915,81.8,1.6,0.3,21.6,0.0,0.0,False,False,False,True,False
-5.0,122.9,1.2,5.7,30.4,0.0,13.357104959270934,False,False,True,False,False
-9.699999999999996,105.5,2.2,5.6,39.6,0.0,16.73094418733436,False,False,False,True,False
-1.5,63.7,1.8,2.3,23.6,-0.6673525377229055,0.0,True,False,False,False,False
-1.0999999999999943,56.9,2.4,4.6,20.4,-1.693525519848773,0.0,True,False,False,False,False
1.0,87.1,3.5,4.9,34.0,0.0,0.0,True,False,False,False,False
-6.599999999999994,127.7,1.6,1.5,34.0,0.0,19.711319631665567,False,False,False,True,False
-1.5,103.9,2.4,5.2,42.8,0.0,9.317611309287884,True,False,False,False,False
-1.6000000000000085,87.9,1.8,5.1,44.0,0.0,8.493369913122997,False,False,False,True,False
-2.5,79.5,3.9,4.3,32.8,0.0,0.6650309917355379,False,False,False,False,True
-2.4000000000000057,129.9,1.2,4.5,16.0,0.0,5.024963017751478,True,False,False,False,False
-0.29999999999999716,72.9,1.2,1.5,35.6,-0.9826989619377144,0.0,True,False,False,False,False
-0.5,97.0,3.0,1.3,22.4,0.0,6.31456611570248,True,False,False,False,False
-4.5,98.5,1.2,2.2,31.6,0.0,1.7198350694444464,False,False,False,True,False
-2.799999999999997,81.3,1.2,2.0,32.8,0.0,0.9503973953844636,False,False,True,False,False
-2.0999999999999943,137.6,3.5,2.1,33.2,0.0,18.428859992425195,False,True,False,False,False
-5.200000000000003,99.9,0.9,4.2,9.2,0.0,7.996432818073721,False,False,True,False,False
-6.199999999999996,105.5,4.6,2.9,7.2,0.0,8.674869928819938,False,False,False,False,True
0.9000000000000057,70.3,3.9,0.8,32.4,0.0,0.0,True,False,False,False,False
-5.299999999999997,105.8,2.5,4.4,44.0,0.0,8.770627852788145,False,False,True,False,False
0.6000000000000085,96.8,3.4,4.4,19.2,0.0,3.5916824196597332,True,False,False,False,False
-2.8999999999999915,123.3,1.6,0.4,54.4,0.0,13.48194500795855,False,True,False,False,False
-3.0999999999999943,64.4,2.0,2.0,14.0,0.0,0.0,False,False,False,True,False
-3.4000000000000057,58.6,2.0,2.3,26.0,0.0,0.0,False,False,True,False,False
-5.3999999999999915,138.9,1.4,4.5,31.2,0.0,13.884689678340479,False,False,True,False,False
-0.8999999999999915,78.2,1.1,5.0,18.8,0.0,0.0,True,False,False,False,False
0.0,56.7,2.0,2.0,32.4,0.0,0.0,True,False,False,False,False
-1.1999999999999886,85.4,3.1,6.0,21.2,0.0,0.0,False,True,False,False,False
-1.2999999999999972,57.0,2.9,5.0,21.6,-2.3727931190583966,0.0,True,False,False,False,False
-2.299999999999997,63.9,1.8,0.1,45.6,0.0,0.0,False,False,True,False,False
2.0999999999999943,82.0,3.8,2.4,16.8,0.0,0.0,True,False,False,False,False
-1.1999999999999886,108.7,2.7,0.2,28.4,0.0,8.925283230860458,False,False,False,False,True
0.5999999999999943,68.4,2.2,1.2,28.4,0.0,0.744288456471832,True,False,False,False,False
-1.1000000000000085,95.7,1.8,0.3,45.6,0.0,8.50723013900074,False,True,False,False,False
1.0,103.6,2.1,0.5,13.6,0.0,4.626240384340409,True,False,False,False,False
-1.2999999999999972,77.4,3.6,1.5,33.2,0.0,2.099891460383045,False,False,True,False,False
-0.6999999999999886,53.0,4.4,0.7,14.4,-5.25,0.0,False,False,True,False,False
-2.1999999999999886,74.6,2.9,4.7,18.0,0.0,0.0,False,False,False,True,False
-1.5,102.8,1.2,0.9,21.2,0.0,10.156116411887425,True,False,False,False,False
-8.0,142.3,1.2,0.4,32.0,0.0,23.66454635614378,False,False,False,True,False
-5.299999999999997,86.1,2.8,5.1,26.8,0.0,0.0,False,False,False,True,False
-1.2999999999999972,64.2,3.8,3.3,12.4,-1.9574454379138864,0.0,False,False,True,False,False
-1.5999999999999943,62.6,3.5,1.4,12.4,-3.0053340263854817,0.0,False,False,True,False,False
-1.9000000000000057,95.3,4.0,4.7,24.0,0.0,3.7706798695809667,False,True,False,False,False
-3.200000000000003,85.5,2.5,5.7,38.8,0.0,1.6845604069785587,False,True,False,False,False
1.5,92.3,3.0,2.4,20.8,0.0,3.4876543209876516,True,False,False,False,False
-3.3999999999999915,70.0,2.0,3.9,40.4,0.0,0.0,False,False,False,True,False
-0.6999999999999886,135.6,3.7,4.8,24.0,0.0,7.26650803093397,True,False,False,False,False
-1.9000000000000057,74.2,3.7,4.0,29.6,0.0,0.0,False,False,True,False,False
-1.3999999999999915,107.1,3.2,4.8,39.2,0.0,5.9573361082205984,False,False,True,False,False
-3.5999999999999943,59.6,2.3,1.3,6.8,-0.8960302457466938,0.0,False,False,False,True,False
-5.3999999999999915,105.0,4.3,4.5,32.0,0.0,14.039262343842957,False,False,False,True,False
-0.5999999999999943,68.0,2.7,4.9,19.6,0.0,0.0,False,True,False,False,False
-8.100000000000009,143.3,0.2,2.1,41.2,0.0,20.22787526827421,False,False,True,False,False
-1.7999999999999972,109.9,1.5,5.1,35.2,0.0,7.111029948867788,True,False,False,False,False
-2.0,115.1,1.3,0.4,28.4,0.0,14.362538900858382,True,False,False,False,False
-3.3000000000000114,85.6,2.7,1.7,24.0,0.0,3.6010224197266822,False,False,False,False,True
-0.5,128.5,2.1,3.9,28.0,0.0,5.280893580921859,True,False,False,False,False
-0.20000000000000284,111.2,3.9,5.1,19.6,0.0,13.028795184843204,True,False,False,False,False
-8.300000000000011,113.1,0.1,4.7,24.0,0.0,16.043692843663813,False,False,False,True,False
-2.799999999999997,113.0,2.0,0.6,29.6,0.0,4.41482715535194,False,False,True,False,False
-2.9000000000000057,105.0,1.5,4.2,15.6,0.0,10.083029837281565,False,True,False,False,False
-3.5,65.3,2.4,4.2,8.4,-3.692743764172336,0.0,False,False,True,False,False
-5.0,61.6,2.3,1.4,19.6,0.0,0.0,False,False,False,False,True
-3.0,61.4,1.2,4.6,20.8,-3.8896490184414034,0.0,False,True,False,False,False
-1.7999999999999972,129.2,2.2,0.5,42.8,0.0,14.437135618570856,True,False,False,False,False
-0.7999999999999972,61.8,3.1,5.3,32.0,0.0,0.0,False,True,False,False,False
-4.200000000000003,93.4,1.2,3.8,47.2,0.0,7.318339100346023,False,False,True,False,False
-3.4000000000000057,123.3,1.7,2.1,10.0,0.0,14.356506750933633,False,False,True,False,False
-1.6999999999999886,135.1,2.5,4.5,33.6,0.0,9.460769309254154,False,True,False,False,False
-2.8999999999999915,66.8,1.8,0.9,31.2,-0.7510362418960561,0.0,False,False,False,True,False
3.5999999999999943,86.9,4.3,0.5,19.6,0.0,2.427092538820858,True,False,False,False,False
-1.9000000000000057,115.4,2.6,4.8,32.0,0.0,7.30592648582067,False,True,False,False,False
-4.199999999999989,54.6,2.1,0.4,28.4,-3.5333050080863995,0.0,False,False,False,True,False
-2.299999999999997,70.9,1.7,1.3,18.8,0.0,0.0,False,False,True,False,False
